,file_size_bytes,width_px,height_px,megapixels,aspect_ratio,brightness_mean,contrast_std,sharpness_laplacian_var,noise_sigma_est,r_mean,g_mean,b_mean,r_std,g_std,b_std,r_entropy,g_entropy,b_entropy
file_size_bytes,1.0,,,,,-0.5803503925248527,0.725768798776744,0.19094223252291898,0.6717629498804234,-0.3063783743479127,-0.6478640074709072,-0.5519344046565786,0.6582064988928318,0.7519099898925329,0.8181642370064487,0.8395155200349543,0.8715596059045951,0.8203874228206046
width_px,,,,,,,,,,,,,,,,,,
height_px,,,,,,,,,,,,,,,,,,
megapixels,,,,,,,,,,,,,,,,,,
aspect_ratio,,,,,,,,,,,,,,,,,,
brightness_mean,-0.5803503925248527,,,,,1.0,-0.21778958422055855,-0.17592655699298596,-0.49234843096661796,0.8866200206469355,0.9902065022197127,0.8677487815212374,-0.09095264971524333,-0.2674867335630088,-0.4261737777593687,-0.18567495668839734,-0.2259465613719126,-0.17408387489347685
contrast_std,0.725768798776744,,,,,-0.21778958422055855,1.0,0.05948788537546359,0.5184932742740859,-0.07948623920082346,-0.25998112131131196,-0.16416397650390765,0.9587605075851673,0.9972574204225262,0.9048458521197965,0.9392428221657856,0.9208815569029273,0.818077455324519
sharpness_laplacian_var,0.19094223252291898,,,,,-0.17592655699298596,0.05948788537546359,1.0,-0.3008094424820609,-0.46173136509484425,-0.09866573509271089,0.2923626836690574,-0.20502239890025895,0.11988347140123586,0.43089206721760814,0.06394352040687798,0.23633459706422905,0.3783442782125677
noise_sigma_est,0.6717629498804234,,,,,-0.49234843096661796,0.5184932742740859,-0.3008094424820609,1.0,-0.11311144743392751,-0.5925628563690672,-0.6039075839170429,0.5923239242822791,0.519647206865753,0.4035490672726921,0.48765147944862525,0.5585207778378866,0.5548139732963074
r_mean,-0.3063783743479127,,,,,0.8866200206469355,-0.07948623920082346,-0.46173136509484425,-0.11311144743392751,1.0,0.8144014764437467,0.5830766473436833,0.13177310155533628,-0.14018803573127078,-0.37584794923997533,0.0197448050496795,-0.043071295906289345,-0.023399172935774346
g_mean,-0.6478640074709072,,,,,0.9902065022197127,-0.25998112131131196,-0.09866573509271089,-0.5925628563690672,0.8144014764437467,1.0,0.9073362762487155,-0.160879843037539,-0.3050012615347768,-0.43630722802819544,-0.24876078558935305,-0.28624430923165955,-0.23162259364706106
b_mean,-0.5519344046565786,,,,,0.8677487815212374,-0.16416397650390765,0.2923626836690574,-0.6039075839170429,0.5830766473436833,0.9073362762487155,1.0,-0.1735338801280789,-0.1839994210433025,-0.2111499089596353,-0.20303134232996145,-0.14816092717093857,-0.027034636066452428
r_std,0.6582064988928318,,,,,-0.09095264971524333,0.9587605075851673,-0.20502239890025895,0.5923239242822791,0.13177310155533628,-0.160879843037539,-0.1735338801280789,1.0,0.9373536100419024,0.7560495448870442,0.9138377387575936,0.8599578448911991,0.7378489813910538
g_std,0.7519099898925329,,,,,-0.2674867335630088,0.9972574204225262,0.11988347140123586,0.519647206865753,-0.14018803573127078,-0.3050012615347768,-0.1839994210433025,0.9373536100419024,1.0,0.932477284168601,0.9366407934316158,0.930703464522611,0.8359392856182605
b_std,0.8181642370064487,,,,,-0.4261737777593687,0.9048458521197965,0.43089206721760814,0.4035490672726921,-0.37584794923997533,-0.43630722802819544,-0.2111499089596353,0.7560495448870442,0.932477284168601,1.0,0.8782557064699601,0.9176094409046057,0.8612962708260581
r_entropy,0.8395155200349543,,,,,-0.18567495668839734,0.9392428221657856,0.06394352040687798,0.48765147944862525,0.0197448050496795,-0.24876078558935305,-0.20303134232996145,0.9138377387575936,0.9366407934316158,0.8782557064699601,1.0,0.9610935677040584,0.854379765581388
g_entropy,0.8715596059045951,,,,,-0.2259465613719126,0.9208815569029273,0.23633459706422905,0.5585207778378866,-0.043071295906289345,-0.28624430923165955,-0.14816092717093857,0.8599578448911991,0.930703464522611,0.9176094409046057,0.9610935677040584,1.0,0.9625871233548402
b_entropy,0.8203874228206046,,,,,-0.17408387489347685,0.818077455324519,0.3783442782125677,0.5548139732963074,-0.023399172935774346,-0.23162259364706106,-0.027034636066452428,0.7378489813910538,0.8359392856182605,0.8612962708260581,0.854379765581388,0.9625871233548402,1.0
