,vertex_count,width,height,valid_ratio,depth_min,depth_p01,depth_median,depth_mean,depth_p99,depth_max,density_mean,density_max,file_size_bytes,width_px,height_px,megapixels,aspect_ratio,brightness_mean,contrast_std,sharpness_laplacian_var,noise_sigma_est,r_mean,g_mean,b_mean,r_std,g_std,b_std,r_entropy,g_entropy,b_entropy
vertex_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
width,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
valid_ratio,,,,1.0,0.316576091073006,0.30160846850993345,0.4194921545170254,0.4447238322750974,0.6231386537141762,0.6849629824485943,0.9943612141987682,0.013847458460816522,0.405289609575767,,,,,-0.5411974402715265,0.2600392105783558,0.8205766768234262,-0.21057152395867254,-0.7610902499615465,-0.4589342982375924,-0.1477391223360212,-0.013150062589052713,0.32149016897950733,0.621414760811364,0.2628342480137238,0.3221216042661916,0.31871358094088753
depth_min,,,,0.316576091073006,1.0,0.9993205965890306,0.7011318272853866,0.7515716706052931,0.7388681589656104,0.6987776725067741,0.35416299595696404,0.3063388300312222,-0.2441047058513963,,,,,0.132300997574604,-0.49800215100259576,0.21009769705688236,-0.767229801097858,-0.034414295081210945,0.18815442552413367,0.10553638919850045,-0.5564062307008184,-0.4880662794222708,-0.30564158429139543,-0.28706445855746315,-0.4056751717749532,-0.4603850512197486
depth_p01,,,,0.30160846850993345,0.9993205965890306,1.0,0.713718113057432,0.7629700255253734,0.7412291772249462,0.6977398016496515,0.3404723281625853,0.2889035189833001,-0.269139098801547,,,,,0.14159961110521602,-0.5288058825880522,0.20961211200453567,-0.7745970704179828,-0.029152214276425018,0.1982654685365202,0.11599573633403729,-0.5854314288910694,-0.5187402054485364,-0.335003353798265,-0.31968371496056114,-0.43336630547964367,-0.48089720731652175
depth_median,,,,0.4194921545170254,0.7011318272853866,0.713718113057432,1.0,0.9872349947041412,0.9533254679470624,0.9078181701892328,0.4208948333503878,0.049865192916769746,-0.2977284149473174,,,,,-0.37439192320736536,-0.6935610280698241,0.2805662384090557,-0.5045392032652841,-0.5650870844354698,-0.2897992411645482,-0.25843757304118187,-0.8105460160249339,-0.653761869489434,-0.3990575099181139,-0.6286106093113214,-0.6416454830121217,-0.6323024662086412
depth_mean,,,,0.4447238322750974,0.7515716706052931,0.7629700255253734,0.9872349947041412,1.0,0.9428911796858193,0.8867126498694494,0.4456301139017418,-0.030849289740131892,-0.37496433297719745,,,,,-0.2792507341491746,-0.6820670824719745,0.3122477242098027,-0.6254129075974454,-0.5258866084457157,-0.18158873776783377,-0.14344978795834207,-0.8079857110463657,-0.6455519657384177,-0.39616901873107463,-0.6320677914032797,-0.6597370317698524,-0.6592825596017279
depth_p99,,,,0.6231386537141762,0.7388681589656104,0.7412291772249462,0.9533254679470624,0.9428911796858193,1.0,0.9898056317721633,0.6218597661324147,0.20958711632264124,-0.04691553479675119,,,,,-0.4992654251804618,-0.46412317785978846,0.3893405157612005,-0.4466679427324827,-0.6666668598607806,-0.4180998242723287,-0.3520975204133934,-0.6211372335172656,-0.4170035243042054,-0.1299673597210482,-0.36705642090089274,-0.39567804268050594,-0.42297103863767843
depth_max,,,,0.6849629824485943,0.6987776725067741,0.6977398016496515,0.9078181701892328,0.8867126498694494,0.9898056317721633,1.0,0.6838746849355948,0.2917726101024055,0.09513323033310188,,,,,-0.5796799956289196,-0.3594609079133621,0.42703469054283383,-0.3513259757159112,-0.711275671977319,-0.5075791848394632,-0.4225965343447609,-0.5283027818822306,-0.30813631918338824,-0.009788948516267272,-0.2479458473837755,-0.26844088028783475,-0.29976330667722306
density_mean,,,,0.9943612141987682,0.35416299595696404,0.3404723281625853,0.4208948333503878,0.4456301139017418,0.6218597661324147,0.6838746849355948,1.0,0.029307538528496227,0.4025200410165126,,,,,-0.4892961225773119,0.22490827179404022,0.8611252981694162,-0.23915756648647235,-0.7107808737303765,-0.4099759985489526,-0.09287208425126327,-0.04885388022286534,0.28710947601346604,0.6004014545037102,0.2524785596190187,0.3230111385471926,0.3379451573491842
density_max,,,,0.013847458460816522,0.3063388300312222,0.2889035189833001,0.049865192916769746,-0.030849289740131892,0.20958711632264124,0.2917726101024055,0.029307538528496227,1.0,0.6425513423597524,,,,,-0.3219958672871796,0.1811573285024062,-0.2722738001660233,0.3416985959153358,0.028672002398738912,-0.4073597010113767,-0.609125568441349,0.2535023159748233,0.17843447606053078,0.19213829212098216,0.46072130150017665,0.3450342012124693,0.22321980762854607
file_size_bytes,,,,0.405289609575767,-0.2441047058513963,-0.269139098801547,-0.2977284149473174,-0.37496433297719745,-0.04691553479675119,0.09513323033310188,0.4025200410165126,0.6425513423597524,1.0,,,,,-0.5803503925248524,0.7257687987767438,0.19094223252291906,0.6717629498804231,-0.30637837434791265,-0.647864007470907,-0.5519344046565786,0.6582064988928314,0.7519099898925327,0.818164237006449,0.8395155200349559,0.8715596059045958,0.8203874228206055
width_px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
height_px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
megapixels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
